SEM,Ordem Venda,Item,OF Embalagem,Código Material,Descrição Material,Acab.,QTD,Total,CT,SERRA/LAM,,TOTAL,OF Lixadora,,TOTAL,BLOCO,,QTD BL.,ESTADO,OBSERVAÇÕES,Cliente
9,3820007100,10,1600033645,70001981,"PL CC 8002/E01 1000X500X4,0 01",E01,9 900,0,CNMLAMPL,1600033646,17.4,0,,,0,70005521,BL CC 8002/ORT 1000X500X210 NE,198,,PRIORIDADE 4/03,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820005228,20,1600023298,70000516,"PL CC 8003/S21 940X640X75,0 01",S21,1 000,0,CNMSERPL,1600023299,18.18,0,,,0,70005845,BL CC 8003/ORT 940X640X250 NE,344.3,,PRIORIDADE 4/03,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820007100,30,1600033649,70001983,"PL CC 8002/E01 1000X500X10,0 01",E01,1 320,0,CNMLAMPL,1600033650,3.93,0,,,0,70005521,BL CC 8002/ORT 1000X500X210 NE,67.3,,PRIORIDADE 4/03,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007237,10,1600036280,70023118,"PL CC 8405/S21 940X640X75,0 3D",S21,320,0,CNMSERPL,1600036282,5.82,0,,,0,70005847,BL CC 8405/ORT 940X640X250 NE,107.9,,PRIORIDADE 4/03,"3DC - INTELLIGENT NATURE, LDA"
9,3820005227,80,1600023165,70003941,"PL CC 8872/S21 940X640X75,0 CV",S21,700,0,CNMSERPL,1600023166,12.73,0,,,0,70005853,BL CC 8872/ORT 940X640X250 NE,240.3,,PRIORIDADE 4/03,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820007961,10,1600042330,70005366,"PL CC 8003/000 915X610X9,0 07",0,68,0,CNMLAMPL,1600042331,0.19,0,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,2.6,,PRIORIDADE 4/03,AMORIM CORK COMPOSITES GMBH
9,3820007100,20,1600033647,70001982,"PL CC 8002/E01 1000X500X6,0 01",E01,4 488,0,CNMLAMPL,1600033648,10.22,0,,,0,70005521,BL CC 8002/ORT 1000X500X210 NE,134.6,,PRIORIDADE 4/03,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007423,20,1600036903,70015488,"PL CC 8123/S21 940X640X21,0 STD",S21,170,0,,,,0,,,0,70005846,BL CC 8123/ORT 950X650X200 NE,18.9,,PRIORIDADE 4/03,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820007312,10,1600036562,70003953,"PL CC 8003/000 940X640X1,5 AS",0,3 024,0,CNMLAMPL,1600036563,4.43,0,,,0,70001618,BL CC 8003/000 940X640X250 NE,19,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820007312,20,1600036564,70003886,"PL CC 8003/000 940X640X2,8 AS",0,1 568,0,CNMLAMPL,1600036565,3.03,0,,,0,70001618,BL CC 8003/000 940X640X250 NE,18.2,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820007312,30,1600036566,70003922,"PL CC 8003/000 940X640X4,9 AS",0,2 688,0,CNMLAMPL,1600036567,6.1,0,,,0,70001618,BL CC 8003/000 940X640X250 NE,54.5,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3823000151,10,1600036401,70004295,"PL CC 8827/PAK 915X610X12,4 00",PAK,6 048,0,CNMLAMPL,1600036401,13.44,0,,,0,70005506,BL CC 8827/ORT 915X610X250 NE,306.9,,,"AMORIM CORK COMPOSITES, INC"
9,3820007306,20,1600036387,70015106,"PL CC 8004/S21 940X640X62,0 01",S21,18,0,CNMSERPL,1600036388,0.3,0,,,0,70005850,BL CC 8004/ORT 940X640X250 NE,6.2,,,"3DC - INTELLIGENT NATURE, LDA"
9,3820007922,20,1600042237,70007737,"PL CC 8403/000 915X610X12,0 11",0,5 000,0,CNMLAMPL,1600042238,13.55,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,252.5,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007922,10,1600042235,70007725,"PL CC 8403/000 915X610X6,0 21",0,4 700,0,CNMLAMPL,1600042236,10.71,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,111,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3823000069,10,1600034376,70004346,"PL CC 8749/000 915X610X11,7 01",0,7 560,0,CNMLAMPL,1600034375,26.62,0,,,0,70005509,BL CC 8749/ORT 915X610X200 NE,455.9,,,"AMORIM CORK COMPOSITES, INC"
9,3823000038,10,1600032861,70004289,"PL CC 8403/000 915X610X12,0 08",0,6 300,0,CNMLAMPL,1600032862,17.07,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,318.2,,,"AMORIM CORK COMPOSITES, INC"
9,3823000093,30,1600032819,70004332,"PL CC 8403/000 915X610X3,8 01",0,6 384,0,CNMLAMPL,1600032820,14.31,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,99.2,,,"AMORIM CORK COMPOSITES, INC"
9,,0,1600038145,70000312,"PL CC 8004/000 940X640X0,8 PA",0,10 000,0,CNMSERPL,1600041996,0.15,0,1600037429,0.26,0,70013436,BL CC 8403/ORT 950x650X210 NE,2.3,,,
9,3820005545,110,1600024733,70004534,"PL CC 8405/S21 940X640X35,8 01",S21,1 036,0,,,,0,,,0,70005847,BL CC 8405/ORT 940X640X250 NE,174,,,"CORTICEIRA JELINEK PORTUGAL, S.A."
9,3823000093,10,1600032817,70002590,"PL CC 8402/000 915X610X2,5 01",0,12 992,0,CNMLAMPL,1600032818,21.4,0,,,0,70005514,BL CC 8402/ORT 915X610X200 NE,166.3,,,"AMORIM CORK COMPOSITES, INC"
9,,0,1600039949,70000312,"PL CC 8004/000 940X640X0,8 PA",0,10 000,0,CNMSERPL,1600041996,0.15,0,1600037429,0.26,0,70013436,BL CC 8403/ORT 950x650X210 NE,2.3,,,
9,,0,1600039952,70000531,"PL CC 8004/000 810X610X0,8 01",0,7 500,0,CNMSERPL,1600041996,0.15,0,1600037429,0.26,0,70013436,BL CC 8403/ORT 950x650X210 NE,2.3,,,
9,,0,1600038146,70000531,"PL CC 8004/000 810X610X0,8 01",0,7 500,0,CNMSERPL,1600041996,0.15,0,1600037429,0.26,0,70013436,BL CC 8403/ORT 950x650X210 NE,2.3,,,
9,,0,1600038227,70000531,"PL CC 8004/000 810X610X0,8 01",0,7 500,0,CNMSERPL,1600041996,0.15,0,1600037429,0.26,0,70013436,BL CC 8403/ORT 950x650X210 NE,2.3,,,
9,3820007204,10,1600035311,70004727,"PL CC 8405/000 940X640X3,0 OF",0,100,0,CNMLAMPL,1600035312,0.18,0,,,0,70001631,BL CC 8405/000 940X640X250 NE,1.3,,,"ORTHOFIX, LDA"
9,3820006957,30,1600032631,70022970,"PL CC 8703/S21 950X650X35,0 01",S21,4,0,CNMSERPL,1600032632,0.07,0,,,0,70005999,BL CC 8703/ORT 950x650X200 NE,1,,,TURBILHAO DE INSP. UNIP. LDA.
9,3820006957,10,1600032626,70022966,"PL CC 8872/S21 940X640X70,0 01",S21,2,0,CNMSERPL,1600032627,0.03,0,,,0,70005853,BL CC 8872/ORT 940X640X250 NE,0.7,,,TURBILHAO DE INSP. UNIP. LDA.
9,3820006957,40,1600032634,70022972,"PL CC 8703/S21 950X650X70,0 01",S21,2,0,CNMSERPL,1600032635,0.03,0,,,0,70005999,BL CC 8703/ORT 950x650X200 NE,1,,,TURBILHAO DE INSP. UNIP. LDA.
9,3820006957,20,1600032629,70022968,PL CC 8872/S21 940X640X110 01,S21,2,0,CNMSERPL,1600032630,0.03,0,,,0,70005853,BL CC 8872/ORT 940X640X250 NE,1,,,TURBILHAO DE INSP. UNIP. LDA.
9,3820007683,20,1600039837,70023267,"PL CC 9430/S21 605X605X50,0 01",S21,150,0,CNMSERPL,1600040054,2.5,0,,,0,70013449,BL CC 9430/ORT 950X650X200 NE,50.8,,,FARL CORK LDA
9,3820008637,10,1600049516,70023708,"PL CC 8821/2SB 1000X500X13,0 MG",2SB,120,0,,,,0,,,0,70002185,BL CC 8821/000 1030X530X210 NE,8.1,,,"MANUEL DA CONCEIÇÃO GRAÇA, LDA."
9,3820007423,10,1600036901,70007790,"PL CC 8123/S21 940X640X18,0 01",S21,320,0,,,,0,,,0,70005846,BL CC 8123/ORT 950X650X200 NE,32.8,,,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820004395,10,1600042502,70003938,"PL CC 8872/S21 950X650X3,0 CV",S21,1 000,0,,,,0,,,0,70005545,BL CC 8872/ORT 950X650X200 NE,17.8,,,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820007406,10,1600036877,70003626,"PL CC 8827/S21 940X640X3,0 3D",S21,200,0,,,,0,,,0,70005852,BL CC 8827/ORT 940X640X250 NE,2.8,,,COTTEL. COM
9,3820005490,10,1600024211,70001459,"PL CC 8303/PTH 915X610X5,0 01",PTH,60,0,CNMLAMPL,1600024212,0.12,0,,,0,70005504,BL CC 8303/ORT 915X610X250 NE,1.2,,,OTTOBOCK SE & CO KGAA
9,3820007485,10,1600037956,70011497,"PL CC 8004/E01 1000X500X6,0 01",E01,4 800,0,CNMLAMPL,1600037957,10.93,0,,,0,70005522,BL CC 8004/ORT 1000X500X210 NE,149.9,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007240,20,1600036350,70001787,"PL CC 8004/S11 915X610X4,0 01",S11,300,0,,,,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,5.2,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007240,40,1600036354,70002001,"PL CC 8004/S11 915X610X7,0 01",S11,86,0,,,,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,2.6,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007074,60,1600033634,70003568,"PL CC 8004/000 915X610X5,6 AS",0,672,0,CNMLAMPL,1600033635,1.47,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,15.7,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820007074,50,1600033632,70003566,"PL CC 8004/000 915X610X4,6 AS",0,816,0,CNMLAMPL,1600033633,1.16,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,15.6,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3823000198,20,1600038919,70005914,"PL CC 8403/000 915X610X5,8 01",0,300,0,CNMLAMPL,1600038920,0.68,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,7,,,"AMORIM CORK COMPOSITES, INC"
9,3823000073,20,1600032836,70000608,"PL CC 8403/000 915X610X2,6 01",0,2 320,0,CNMLAMPL,1600032837,3.31,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,24.7,,,"AMORIM CORK COMPOSITES, INC"
9,3820007312,80,1600037241,70023170,"PL CC 8003/000 940X640X1,7 AS",0,2 464,0,CNMLAMPL,1600037242,4.13,0,,,0,70001618,BL CC 8003/000 940X640X250 NE,17.5,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820007488,50,1600037986,70010969,"PL CC 8403/XXX  915X610X6,0 03",XXX,1 232,0,CNMLAMPL,1600037987,2.81,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,29.1,,,"WE CORK, INC."
9,3820008076,10,1600047026,70000542,"PL CC 8405/000 940X640X0,8 00",0,26 438,0,CNMLAMPL,1600047027,27.91,0,,,0,70001631,BL CC 8405/000 940X640X250 NE,85.6,,,PANDA Y. G. SAN. VE D. T. LTD. S
9,3820007496,30,1600037990,70001993,"PL CC 8057/PTH 1000X500X3,0 AD",PTH,100,0,CNMLAMPL,1600037991,0.16,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,,,GÖTZ SERVICE GMBH
9,3823000137,40,1600037226,70004337,"PL CC 8403/000 915X610X5,8 04",0,10 200,0,,,,0,,,,,,,,A PARTIR DE 8244,"AMORIM CORK COMPOSITES, INC"
9,3820008286,10,1600050814,70023359,PL CC 8405/000 1030X530X180 ZZ,0,60,0,CNMSERPL,1600050814,1,0,,,0,70005996,BL CC 8405/ORT 1035X535X210 NE,60,,,"CAMILA MOVEIS IND. MOBILIARIO, LDA"
9,3823000068,10,1600036827,70004334,"PL CC 8403/000 915X610X5,8 00",0,14 700,0,,,,0,,,,,,,,A PARTIR DE 8244,"AMORIM CORK COMPOSITES, INC"
9,3820007278,10,1600036472,70003906,"PL CC 8303/S21 940X640X15,0 PT",S21,50,0,,,,0,,,0,70005856,BL CC 8303/ORT 940X640X250 NE,3.4,,,"ALDCORK - COM. CORTIÇAS UNIP., LDA"
9,3820007496,50,1600037994,70001989,"PL CC 8057/PTH 1000X500X5,0 AD",PTH,60,0,CNMLAMPL,1600037995,0.12,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,,,GÖTZ SERVICE GMBH
9,3823000151,90,1600036414,70004656,"PL CI 5608/000 915X610X12,5 01",0,2 100,0,CNMLAMPL,1600036415,6.46,0,,,0,70005517,BL CI 5608/ORT 915X610X250 NE,108.2,,,"AMORIM CORK COMPOSITES, INC"
9,3820007792,10,1600039812,70006594,"PL CC 8405/000 940X640X6,0 01",0,50,0,CNMLAMPL,1600039813,0.14,0,,,0,70001631,BL CC 8405/000 940X640X250 NE,1.2,,,"HUGAL - INDÚSTRIA DE CALÇADO, LDA"
9,3820007278,20,1600036474,70011020,"PL CC 8303/S21  940X640X9,0 PT",S21,50,0,,,,0,,,0,70005856,BL CC 8303/ORT 940X640X250 NE,1.9,,,"ALDCORK - COM. CORTIÇAS UNIP., LDA"
9,3820007278,30,1600036476,70011026,"PL CC 8303/S21  940X640X5,0 PT",S21,50,0,,,,0,,,0,70005856,BL CC 8303/ORT 940X640X250 NE,1.1,,,"ALDCORK - COM. CORTIÇAS UNIP., LDA"
9,3820007565,20,1600038034,70011568,"PL CC 8004/000  940X640X4,0 01",0,76,0,CNMLAMPL,1600038035,0.16,0,,,0,70001620,BL CC 8004/000 940X640X250 NE,1.3,,,P.P.H.U. ANPLAST ANDRZEJ FRACKOWIAK
9,3820007565,10,1600038032,70011575,"PL CC 8004/000  940X640X10,0 VE",0,160,0,CNMLAMPL,1600038033,0.59,0,,,0,70001620,BL CC 8004/000 940X640X250 NE,6.6,,,P.P.H.U. ANPLAST ANDRZEJ FRACKOWIAK
9,3820007306,10,1600036384,70015103,"PL CC 8004/S21 940X640X31,0 01",S21,18,0,CNMSERPL,1600036386,0.28,0,,,0,70005850,BL CC 8004/ORT 940X640X250 NE,3.1,,,"3DC - INTELLIGENT NATURE, LDA"
9,3820007358,10,1600036571,70002292,"PL CC 8122/000 940X640X95,0 02",0,7,0,CNMSERPL,1600036572,0.16,0,,,0,70005855,BL CC 8122/ORT 950x650X200 NE,3.7,,,LA CHANCE
9,3820007074,40,1600033630,70004384,"PL CC 8004/000 915X610X3,1 01",0,1 200,0,CNMLAMPL,1600033631,1.94,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,15.5,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820007240,30,1600036352,70002169,"PL CC 8004/S11 915X610X5,0 01",S11,360,0,,,,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,7.7,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007237,20,1600036298,70023118,"PL CC 8405/S21 940X640X75,0 3D",S21,320,0,CNMSERPL,1600036340,5.82,0,,,0,70005847,BL CC 8405/ORT 940X640X250 NE,107.9,,,"3DC - INTELLIGENT NATURE, LDA"
9,3820006954,30,1600032622,70022989,"PL CC 8003/000 915X610X25,0 08",0,360,0,CNMLAMPL,1600032623,2.14,0,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,37.2,,,"PORTOCORK INTERNACIONAL, SA"
9,3820007496,80,1600038000,70001994,"PL CC 8057/PTH 1000X500X10,0 AD",PTH,32,0,CNMLAMPL,1600038001,0.1,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.6,,,GÖTZ SERVICE GMBH
9,3820007243,50,1600036542,70010369,PL CC 8872/000 940X640X245 CV,0,80,0,CNMLAMPL,1600036543,4,0,,,0,70003937,BL CC 8872/000 940X640X250 NE,80,,,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820007243,40,1600036540,70005284,BL CC 8872/000 940X640X195 01,0,80,0,CNMSERPL,1600036541,1.33,0,,,0,70005853,BL CC 8872/ORT 940X640X250 NE,80,,,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3823000199,30,1600037589,70004333,"PL CC 8403/000 915X610X11,7 00",0,600,0,CNMLAMPL,1600037590,1.63,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,28.9,,,"AMORIM CORK COMPOSITES, INC"
9,3820007488,60,1600037988,70010971,"PL CC 8403/XXX  915X610X12,7 01",XXX,600,0,CNMLAMPL,1600037989,2.67,0,,,0,70012041,BL CC 8403/ORT  940X640X250 NE,31.9,,,"WE CORK, INC."
9,3820007406,20,1600036879,70000189,"PL CC 8827/S21 940X640X5,0 02",S21,180,0,,,,0,,,0,70005852,BL CC 8827/ORT 940X640X250 NE,4,,,COTTEL. COM
9,3820007862,40,1600042100,70002761,"PL CC 8004/S11 940X640X8,0 01",S11,144,0,,,,0,,,0,70005850,BL CC 8004/ORT 940X640X250 NE,4.9,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007116,30,1600034480,70011497,"PL CC 8004/E01 1000X500X6,0 01",E01,1 800,0,CNMLAMPL,1600034481,4.1,0,,,0,70005522,BL CC 8004/ORT 1000X500X210 NE,56.2,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820006951,60,1600032155,70003455,"PL CC 8004/000 940X640X4,4 CB",0,1 020,0,CNMLAMPL,1600032156,1.77,0,,,0,70001620,BL CC 8004/000 940X640X250 NE,18.8,,,"PORTOCORK INTERNACIONAL, SA"
9,3823000198,40,1600038921,70005915,"PL CI 5608/000 915X610X5,8 99",0,300,0,CNMLAMPL,1600038922,0.68,0,,,0,70005517,BL CI 5608/ORT 915X610X250 NE,7.2,,,"AMORIM CORK COMPOSITES, INC"
9,3820006951,80,1600036208,70023081,"PL CC 8002/S11 940X640X6,0 02",S11,260,0,,,,0,,,0,70001617,BL CC 8002/000 940X640X250 NE,7.4,,,"PORTOCORK INTERNACIONAL, SA"
9,3820007496,40,1600037992,70001988,"PL CC 8057/PTH 1000X500X4,0 AD",PTH,76,0,CNMLAMPL,1600037993,0.13,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,,,GÖTZ SERVICE GMBH
9,3823000199,40,1600037591,70004993,"PL CC 8403/000 915X610X11,7 02",0,450,0,CNMLAMPL,1600037592,1.22,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,21.6,,,"AMORIM CORK COMPOSITES, INC"
9,3820007312,40,1600036568,70003126,"PL CC 8004/S21 940X640X75,0 01",S21,168,0,CNMSERPL,1600036570,3.06,0,,,0,70005850,BL CC 8004/ORT 940X640X250 NE,57.7,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820005490,20,1600024213,70001460,"PL CC 8303/PTH 915X610X6,0 01",PTH,52,0,CNMLAMPL,1600024214,0.12,0,,,0,70005504,BL CC 8303/ORT 915X610X250 NE,1.3,,,OTTOBOCK SE & CO KGAA
9,3820007496,70,1600037998,70001991,"PL CC 8057/PTH 1000X500X8,0 AD",PTH,40,0,CNMLAMPL,1600037999,0.11,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.6,,,GÖTZ SERVICE GMBH
9,3820007240,50,1600036356,70001580,"PL CC 8004/S11 915X610X10,0 01",S11,360,0,,,,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,15.5,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820005748,10,1600026015,70002143,"PL CC 8123/PTH 915X610X6,0 01",PTH,52,0,CNMLAMPL,1600026016,0.12,0,,,0,70005503,BL CC 8123/ORT 915X610X200 NE,1.6,,,PISANA ORTHOPÄDIE TECHNIK GMBH
9,3820007240,10,1600036348,70014032,"PL CC 9426/S11 925X625X6,0 01",S11,208,0,,,,0,,,0,70013448,BL CC 9426/ORT 925X625X200 NE,6.8,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007473,20,1600037621,70015087,"PL CC 8405/S21 940X640X16,5 01",S21,216,0,,,,0,,,0,70005847,BL CC 8405/ORT 940X640X250 NE,15.6,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007496,60,1600037996,70001990,"PL CC 8057/PTH 1000X500X6,0 AD",PTH,52,0,CNMLAMPL,1600037997,0.12,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,,,GÖTZ SERVICE GMBH
